continent,year,emissions
Asia,1884,8217833.0
Asia,1885,8567155.0
Asia,1886,9143532.0
Asia,1887,10569025.0
Asia,1888,11750825.0
Asia,1889,13819326.0
Asia,1890,15128221.0
Asia,1891,17249326.0
Asia,1892,18323509.0
Asia,1893,20470128.0
Asia,1894,22806617.0
Asia,1895,26372374.0
Asia,1896,28100072.0
Asia,1897,30567185.0
Asia,1898,36578548.0
Asia,1899,38846373.0
Asia,1900,44119427.0
Asia,1901,50483996.0
Asia,1902,52619952.0
Asia,1903,57142089.0
Asia,1904,64124574.0
Asia,1905,65417968.0
Asia,1906,87527399.0
Asia,1907,94294143.0
Asia,1908,106136979.0
Asia,1909,105951259.0
Asia,1910,104674490.0
Asia,1911,121138630.0
Asia,1912,112716931.0
Asia,1913,124070544.0
Asia,1914,131447642.0
Asia,1915,127501520.0
Asia,1916,137918471.0
Asia,1917,149998088.0
Asia,1918,153275470.0
Asia,1919,169919363.0
Asia,1920,162005900.0
Asia,1921,158416551.0
Asia,1922,168042985.0
Asia,1923,184953905.0
Asia,1924,199653142.0
Asia,1925,202835344.0
Asia,1926,204900951.0
Asia,1927,224699438.0
Asia,1928,235121388.0
Asia,1929,246093757.0
Asia,1930,246557694.0
Asia,1931,237337417.0
Asia,1932,237432769.0
Asia,1933,261528881.0
Asia,1934,296937540.0
Asia,1935,322726372.0
Asia,1936,354201472.0
Asia,1937,375599676.0
Asia,1938,389285021.0
Asia,1939,412157752.0
Asia,1940,467790981.0
Asia,1941,472586208.0
Asia,1942,433908067.0
Asia,1943,428679468.0
Asia,1944,435865250.0
Asia,1945,323129099.0
Asia,1946,311410444.0
Asia,1947,372868560.0
Asia,1948,370219312.0
Asia,1949,456735655.0
Asia,1950,476121837.0
Asia,1951,456067222.0
Asia,1952,505794625.0
Asia,1953,541411695.0
Asia,1954,593297587.0
Asia,1955,676212146.0
Asia,1956,750836884.0
Asia,1957,845232786.0
Asia,1958,1139732611.0
Asia,1959,1375521891.0
Asia,1960,1540394483.0
Asia,1961,1395308133.0
Asia,1962,1344445545.0
Asia,1963,1425118416.0
Asia,1964,1509494689.0
Asia,1965,1652064447.0
Asia,1966,1799358286.0
Asia,1967,1827449007.0
Asia,1968,2018387350.0
Asia,1969,2291939814.0
Asia,1970,2699300836.0
Asia,1971,2953833259.0
Asia,1972,3124009857.0
Asia,1973,3355519482.0
Asia,1974,3415347407.0
Asia,1975,3581002878.0
Asia,1976,3806119266.0
Asia,1977,4050961252.0
Asia,1978,4232254059.0
Asia,1979,4405939806.0
Asia,1980,4400904783.0
Asia,1981,4374459208.0
Asia,1982,4524213069.0
Asia,1983,4706386594.0
Asia,1984,4980670654.0
Asia,1985,5272290607.0
Asia,1986,5498752809.0
Asia,1987,5735493718.0
Asia,1988,6205031052.0
Asia,1989,6421483079.0
Asia,1990,6625837983.0
Asia,1991,6956347159.0
Asia,1992,7269585454.0
Asia,1993,7600515327.0
Asia,1994,7931294332.0
Asia,1995,8251608613.0
Asia,1996,8579100358.0
Asia,1997,8691038455.0
Asia,1998,8421433438.0
Asia,1999,8678316711.0
Asia,2000,9091054959.0
Asia,2001,9259171838.0
Asia,2002,9779534328.0
Asia,2003,10716110297.0
Asia,2004,11681500681.0
Asia,2005,12522218780.0
Asia,2006,13363127459.0
Asia,2007,14080908201.0
Asia,2008,14811211177.0
Asia,2009,15412299488.0
Asia,2010,16530950685.0
Asia,2011,17746631804.0
Asia,2012,18456299828.0
Asia,2013,18714335123.0
Asia,2014,19018801891.0
Asia,2015,19135910319.0
Asia,2016,19218166352.0
Asia,2017,19653512867.0
Asia,2018,20254370026.0
Asia,2019,20608592701.0
Asia,2020,20317058379.0
Oceania,1884,3631024.0
Oceania,1885,4034064.0
Oceania,1886,4067040.0
Oceania,1887,4272224.0
Oceania,1888,4891440.0
Oceania,1889,4737552.0
Oceania,1890,4968384.0
Oceania,1891,5499664.0
Oceania,1892,5653552.0
Oceania,1893,5506992.0
Oceania,1894,5968656.0
Oceania,1895,6214144.0
Oceania,1896,6272768.0
Oceania,1897,6851680.0
Oceania,1898,7635776.0
Oceania,1899,7961872.0
Oceania,1900,12607824.0
Oceania,1901,14179680.0
Oceania,1902,14436160.0
Oceania,1903,14388528.0
Oceania,1904,14978432.0
Oceania,1905,15586656.0
Oceania,1906,18221072.0
Oceania,1907,19562096.0
Oceania,1908,20906784.0
Oceania,1909,18818304.0
Oceania,1910,22339408.0
Oceania,1911,23848976.0
Oceania,1912,25648000.0
Oceania,1913,26604304.0
Oceania,1914,29561152.0
Oceania,1915,26725216.0
Oceania,1916,24310640.0
Oceania,1917,25376864.0
Oceania,1918,27483664.0
Oceania,1919,25867840.0
Oceania,1920,29290016.0
Oceania,1921,26651936.0
Oceania,1922,27905024.0
Oceania,1923,28685456.0
Oceania,1924,31059728.0
Oceania,1925,32323808.0
Oceania,1926,32125952.0
Oceania,1927,33390032.0
Oceania,1928,31000847.0
Oceania,1929,28546174.0
Oceania,1930,26893798.0
Oceania,1931,23784460.0
Oceania,1932,23880348.0
Oceania,1933,25125693.0
Oceania,1934,26679554.0
Oceania,1935,29378853.0
Oceania,1936,31225003.0
Oceania,1937,33236124.0
Oceania,1938,32281157.0
Oceania,1939,36603309.0
Oceania,1940,33796657.0
Oceania,1941,39545532.0
Oceania,1942,41597877.0
Oceania,1943,40360099.0
Oceania,1944,39678416.0
Oceania,1945,38314307.0
Oceania,1946,40952299.0
Oceania,1947,43465180.0
Oceania,1948,43922526.0
Oceania,1949,43255470.0
Oceania,1950,63714413.0
Oceania,1951,67686754.0
Oceania,1952,70254297.0
Oceania,1953,68666774.0
Oceania,1954,77700743.0
Oceania,1955,81151547.0
Oceania,1956,84276196.0
Oceania,1957,86297625.0
Oceania,1958,88946073.0
Oceania,1959,95053307.0
Oceania,1960,100973380.0
Oceania,1961,103676995.0
Oceania,1962,107208883.0
Oceania,1963,114488152.0
Oceania,1964,124048756.0
Oceania,1965,136725214.0
Oceania,1966,136762210.0
Oceania,1967,145474846.0
Oceania,1968,151161138.0
Oceania,1969,159429093.0
Oceania,1970,165832813.0
Oceania,1971,172156168.0
Oceania,1972,177757861.0
Oceania,1973,194305177.0
Oceania,1974,196740328.0
Oceania,1975,199435004.0
Oceania,1976,198480865.0
Oceania,1977,213266231.0
Oceania,1978,224620093.0
Oceania,1979,226513268.0
Oceania,1980,243555227.0
Oceania,1981,252122044.0
Oceania,1982,257191421.0
Oceania,1983,247750357.0
Oceania,1984,260633525.0
Oceania,1985,268324406.0
Oceania,1986,268056450.0
Oceania,1987,285610352.0
Oceania,1988,291932082.0
Oceania,1989,308604456.0
Oceania,1990,310806408.0
Oceania,1991,314080448.0
Oceania,1992,320499727.0
Oceania,1993,325386130.0
Oceania,1994,334462937.0
Oceania,1995,342543664.0
Oceania,1996,352408520.0
Oceania,1997,365180052.0
Oceania,1998,375643730.0
Oceania,1999,385044934.0
Oceania,2000,391609448.0
Oceania,2001,402960130.0
Oceania,2002,410452456.0
Oceania,2003,419239575.0
Oceania,2004,433075344.0
Oceania,2005,435514013.0
Oceania,2006,445148448.0
Oceania,2007,450934284.0
Oceania,2008,458011016.0
Oceania,2009,447206249.0
Oceania,2010,451189137.0
Oceania,2011,451908773.0
Oceania,2012,450679901.0
Oceania,2013,441040275.0
Oceania,2014,449238205.0
Oceania,2015,454010038.0
Oceania,2016,465735657.0
Oceania,2017,466026027.0
Oceania,2018,467724583.0
Oceania,2019,471189339.0
Oceania,2020,444571198.0
NorthAmerica,1884,276188986.0
NorthAmerica,1885,280406263.0
NorthAmerica,1886,296260420.0
NorthAmerica,1887,317530121.0
NorthAmerica,1888,387186409.0
NorthAmerica,1889,346834818.0
NorthAmerica,1890,414160901.0
NorthAmerica,1891,441886407.0
NorthAmerica,1892,464918356.0
NorthAmerica,1893,469479973.0
NorthAmerica,1894,439768627.0
NorthAmerica,1895,493973873.0
NorthAmerica,1896,496110050.0
NorthAmerica,1897,515774860.0
NorthAmerica,1898,561765481.0
NorthAmerica,1899,645458850.0
NorthAmerica,1900,684366970.0
NorthAmerica,1901,746684552.0
NorthAmerica,1902,791569041.0
NorthAmerica,1903,923924101.0
NorthAmerica,1904,916872850.0
NorthAmerica,1905,1023576757.0
NorthAmerica,1906,1074778612.0
NorthAmerica,1907,1253116545.0
NorthAmerica,1908,1103991618.0
NorthAmerica,1909,1214811018.0
NorthAmerica,1910,1327425056.0
NorthAmerica,1911,1327461787.0
NorthAmerica,1912,1419666758.0
NorthAmerica,1913,1533790293.0
NorthAmerica,1914,1396792845.0
NorthAmerica,1915,1443461145.0
NorthAmerica,1916,1613035511.0
NorthAmerica,1917,1782872794.0
NorthAmerica,1918,1868648396.0
NorthAmerica,1919,1596982057.0
NorthAmerica,1920,1899938011.0
NorthAmerica,1921,1595440551.0
NorthAmerica,1922,1591500224.0
NorthAmerica,1923,2062964073.0
NorthAmerica,1924,1845231935.0
NorthAmerica,1925,1892376224.0
NorthAmerica,1926,2037959547.0
NorthAmerica,1927,1989282152.0
NorthAmerica,1928,1953447300.0
NorthAmerica,1929,2090042962.0
NorthAmerica,1930,1865619639.0
NorthAmerica,1931,1582574360.0
NorthAmerica,1932,1349391392.0
NorthAmerica,1933,1441233360.0
NorthAmerica,1934,1542101354.0
NorthAmerica,1935,1600188914.0
NorthAmerica,1936,1830039443.0
NorthAmerica,1937,1921476296.0
NorthAmerica,1938,1637415638.0
NorthAmerica,1939,1801314442.0
NorthAmerica,1940,2020176587.0
NorthAmerica,1941,2199466111.0
NorthAmerica,1942,2360895189.0
NorthAmerica,1943,2442572247.0
NorthAmerica,1944,2620135378.0
NorthAmerica,1945,2528287260.0
