Country,year,iso_code,co2
Afghanistan,2020,AFG,12.16
Albania,2020,ALB,4.535
Algeria,2020,DZA,154.995
Andorra,2020,AND,0.466
Angola,2020,AGO,22.198
Anguilla,2020,AIA,0.123
Antarctica,2020,ATA,
Antigua and Barbuda,2020,ATG,0.43
Argentina,2020,ARG,156.978
Aruba,2020,ABW,0.753
Australia,2020,AUS,391.892
Austria,2020,AUT,60.635
Bahrain,2020,BHR,34.96
Barbados,2020,BRB,1.087
Belarus,2020,BLR,57.445
Belgium,2020,BEL,83.749
Belize,2020,BLZ,0.583
Benin,2020,BEN,6.703
Bermuda,2020,BMU,0.624
Bhutan,2020,BTN,1.925
Bolivia,2020,BOL,20.7
Bonaire Sint Eustatius and Saba,2020,BES,0.301
Bosnia and Herzegovina,2020,BIH,21.418
Botswana,2020,BWA,6.519
Brazil,2020,BRA,467.384
British Virgin Islands,2020,VGB,0.139
Brunei,2020,BRN,10.158
Bulgaria,2020,BGR,37.444
Burkina Faso,2020,BFA,3.97
Burundi,2020,BDI,0.602
Cambodia,2020,KHM,15.326
Cameroon,2020,CMR,6.889
Canada,2020,CAN,535.823
Cape Verde,2020,CPV,0.55
Central African Republic,2020,CAF,0.188
Chad,2020,TCD,0.912
Chile,2020,CHL,81.171
China,2020,CHN,10667.888
Christmas Island,2020,CXR,
Colombia,2020,COL,89.105
Comoros,2020,COM,0.258
Congo,2020,COG,3.117
Cook Islands,2020,COK,0.079
Costa Rica,2020,CRI,7.907
Cote d'Ivoire,2020,CIV,10.071
Croatia,2020,HRV,16.982
Cuba,2020,CUB,20.152
Curacao,2020,CUW,3.335
Cyprus,2020,CYP,6.496
Czechia,2020,CZE,87.975
Democratic Republic of Congo,2020,COD,2.477
Denmark,2020,DNK,26.195
Djibouti,2020,DJI,0.351
Dominica,2020,DMA,0.139
Dominican Republic,2020,DOM,27.769
Ecuador,2020,ECU,30.932
Egypt,2020,EGY,213.457
El Salvador,2020,SLV,6.124
Equatorial Guinea,2020,GNQ,10.265
Eritrea,2020,ERI,0.722
Estonia,2020,EST,10.452
Eswatini,2020,SWZ,0.956
Ethiopia,2020,ETH,14.665
Faeroe Islands,2020,FRO,0.684
Fiji,2020,FJI,1.393
Finland,2020,FIN,39.288
France,2020,FRA,276.634
French Guiana,2020,GUF,0.728
French Polynesia,2020,PYF,0.828
Gabon,2020,GAB,4.298
Gambia,2020,GMB,0.5
Georgia,2020,GEO,9.968
Germany,2020,DEU,644.31
Ghana,2020,GHA,16.001
Greece,2020,GRC,52.235
